,id,t,monday,tuesday,wednesday,thursday,friday,saturday,sunday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood (target)
14,AS14.02,5,1,1,1,0,0,1,1,7.05,-0.67,0.4,0.282362136,30.64483997,1,1,32.37388818,33.41792134,87.40567333,,,,14.69736778,42.54140113,36.60485417,,,,5.75
15,AS14.02,5,1,0,0,1,1,1,1,6.17,-0.49,0.03,0.244685835,42.36102247,1,1,10.86700795,34.93151099,70.26394026,,,,12.78356167,22.88400434,25.38946875,,,,6.25
16,AS14.02,5,0,1,1,1,1,1,0,6.65,-0.6,0.2,0.31453893,32.75919151,1,1,10.6434602,25.55492305,26.63604815,,,,17.53392,20.1535676,30.74278796,,2.25775,,7.2
17,AS14.02,5,1,1,1,1,0,0,1,7.123333333,-0.086666667,0.446666667,0.294776975,25.96489489,1,1,8.459027037,24.29887963,11.77204902,,,,11.44153333,13.69966667,8.869222222,,9.387555556,,6.5
18,AS14.02,5,1,1,0,0,1,1,1,5.666666667,-0.633333333,-0.233333333,37.75,50.10050005,1,1,10.09,24.11366667,,,,,,35.629,,,,,5.5
19,AS14.02,3,0,0,1,1,1,0,0,7.166666667,-0.5,0.333333333,0.088669951,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AS14.03,5,1,1,0,0,1,1,1,8.12,0.12,1.36,0.128785879,38.28785996,1,1,20.31636507,28.51011013,30.5569996,66.85866667,,22.10889773,26.81594298,,29.25174107,29.194,6.366777778,44.854,8.25
21,AS14.03,5,0,0,1,1,1,1,1,8.2,-0.03,1.12,0.125411259,35.13605902,1,1,12.95267251,13.26520181,30.4765411,39.209,,13.393875,12.78669524,,6.42,23.66166667,7.895,15.9775,7.4
22,AS14.03,5,1,1,1,1,1,0,0,7.6,0.24,0.8,0.086095815,43.14113031,1,1,308.245801,23.38757853,29.69335409,32.51624167,,8.820083333,19.23935746,,27.0725,167.8505,9.87925,,7.6
23,AS14.03,5,1,1,1,0,0,1,1,7.4,0.52,1,0.106243402,51.8513196,1,1,19.14699972,18.39674645,33.94565976,20.19863333,,24.02963889,40.34683863,,9.848,21.73425,,,7.4
24,AS14.03,5,1,0,0,1,1,1,1,7.413333333,0.226666667,0.96,0.105265126,69.51653973,1,1,286.7429856,36.076341,103.9100153,22.6695,,13.40855556,95.93358591,9.564642857,,20.22166667,10.382,,7.6
25,AS14.03,5,0,1,1,1,1,1,0,7.63,0.37,0.87,0.131457655,42.20030936,1,1,26.08232348,28.50782738,32.67914241,52.2005,,16.29380952,9.362762273,,17.2585,35.404125,10.42716667,,7.5
26,AS14.03,5,1,1,1,1,0,0,1,7.38,0.25,0.92,0.097388973,62.21509009,1,1,37.74314193,26.71866716,34.75639805,42.9775,,13.18266667,46.28096,,34.52408334,44.32075,5.461,,7.5
27,AS14.03,5,1,1,0,0,1,1,1,7.36,-0.93,1,0.128437256,58.16031795,1,1,11.34966074,41.94832114,46.61805555,19.71127381,,33.00266667,31.105305,2.702309524,60.10355556,16.83420833,8.3965,,7
28,AS14.03,5,0,0,1,1,1,1,1,7.39,-0.96,1.04,0.113107867,62.04073307,1,1,38.32211092,18.80772588,46.79871595,21.612,,15.2915,16.95024476,,30.08275,25.77066667,9.725125,,7.25
29,AS14.03,3,1,1,1,0,0,0,0,7.458333334,-0.833333334,1,0.094022268,28.50605301,1,1,26.70457326,15.006776,17.72586815,13.243,,4.88425,23.14536364,,65.241,63.34533333,6.155,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AS14.05,5,1,1,0,0,1,1,1,6.806666667,-0.363333333,0.76,0.098283214,73.97841099,1,1,25.2596941,57.13358549,12.14149639,,,,20.62043167,371.0770625,,14.2414875,9.55005,,6.75
31,AS14.05,5,0,0,1,1,1,1,1,5.87,-0.28,0.11,0.081229935,60.50003933,1,1,17.27782708,50.96033675,12.21552594,,,,12.06055182,#DIV/0!,,7.797666667,7.2905,,3.75
32,AS14.05,5,1,1,1,1,1,0,0,5.316666667,-0.82,0.076666667,0.041847942,112.4941159,1,1,53.42669378,82.5546476,35.47916762,,,,19.31489167,115.0023333,,28.66126042,63.64005357,,6.4
33,AS14.05,5,1,1,1,0,0,1,1,6.68,-0.36,0.96,0.077187228,40.08538435,1,1,13.85408342,35.58858683,13.89065276,,,,13.71419136,51.19803572,,17.4993,27.3359,,7.2
34,AS14.05,5,1,0,0,1,1,1,1,7.05,-0.49,0.91,0.061543561,56.41293416,1,,33.47259344,41.9771748,7.269972588,,,,17.53543137,57.6313611,,28.97873333,8.331966667,,6.75
35,AS14.05,5,0,1,1,1,1,1,0,6.99,0.02,0.67,0.079200992,62.88014846,1,1,25.25145996,58.30423894,12.95583345,,,21.127,58.65427887,49.6306625,,19.11772222,5.6748125,,7.5
36,AS14.05,5,1,1,1,1,0,0,1,6.94,-0.173333333,0.72,0.098767053,50.28879495,1,,24.74332945,47.48218907,5.858995864,,,,31.43818974,93.17997144,,51.72111667,11.52895,,7.5
37,AS14.05,5,1,1,0,0,1,1,1,7.26,-0.39,0.96,0.075212566,65.52902362,1,1,26.64482944,41.72845067,6.616009802,,,,13.79290562,71.85146849,5.029,31.52481667,7.7323625,,7.2
38,AS14.05,5,0,0,1,1,1,1,1,7.36,-0.87,1,0.077671906,49.03171227,1,1,32.01871436,40.04750502,10.72040858,,,,14.18317183,43.74325742,,12.80710165,9.43884375,,7
39,AS14.05,5,1,1,1,1,1,0,0,6.92,-0.24,0.96,0.029037552,68.33300773,1,1,27.70352262,47.11113584,7.396417555,,,,19.14450333,134.2955473,,27.17003512,7.1743125,,6.75
40,AS14.05,3,1,0,0,0,0,1,1,6.694444444,0.055555556,1,0.043180615,46.20142884,1,1,18.12141641,35.832596,4.436571656,,,,9.064174074,26.938225,,26.32967143,17.6165,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,AS14.06,5,1,1,1,1,1,0,0,7.32,-0.13,0.63,0.124100508,74.3788252,1,1,30.87263952,39.70067386,12.56134714,,,26.63388889,22.0513,64.12059902,41.70282693,,,,7.8
42,AS14.06,5,1,1,1,0,0,1,1,7.43,-0.16,0.67,0.174378067,99.78536315,1,1,67.64144638,39.43073569,10.20711466,,831.1795,41.59433334,11.74831333,68.54620814,22.122,,,1.619666667,7.2
43,AS14.06,5,1,0,0,1,1,1,1,6.88,-0.48,0.36,0.173348909,108.8291487,1,,56.32465417,43.53542328,7.646423528,,140.9083334,,11.56545333,98.53063058,49.44677083,,,,6.6
44,AS14.06,5,0,1,1,1,1,1,0,7.52,0.04,0.72,0.188431544,84.89068821,1,1,79.05048397,39.4072865,14.84198454,,339.251,207.1862222,12.62756571,78.29109116,45.43433478,,,14.40866667,6.5
45,AS14.06,5,1,1,1,1,0,0,1,7.03,-0.39,0.52,0.204156771,107.5617704,1,1,90.969705,45.42289207,8.285099142,,,36.66754546,27.59074,64.85748197,27.35220833,,,6.028,6.25
46,AS14.06,5,1,1,0,0,1,1,1,6.97,-0.08,0.62,0.099374821,79.02403501,1,1,44.92200111,42.07208422,12.16844069,,76.947,12.36366667,11.87909333,63.11637855,69.09778869,,,,7
47,AS14.06,5,0,0,1,1,1,1,1,7.17,-0.37,0.79,53.12715019,64.38775501,1,1,42.22874555,40.29412036,7.148933745,,,21.29785417,16.5628,78.61893682,145.8198667,,,20.8495,6.75
48,AS14.06,5,1,1,1,1,1,0,0,7.2,-0.32,0.82,0.193679265,91.8422395,1,,58.29038749,44.43116653,9.936902849,,,25.37470833,8.39882,103.6922367,47.42129167,,,7.101,6.25
49,AS14.06,5,1,1,1,0,0,1,1,6.9,-0.679166667,0.416666667,0.14278537,83.14929271,1,1,25.59665952,44.08253266,5.879888253,,,76.98529167,20.52384375,82.69841847,31.36375,46.9985,,8.026,7
50,AS14.06,1,0,0,0,1,0,0,0,7,-1,1,0,,,,,151.7315,7.466,,,,,63.596,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,AS14.07,5,1,1,1,1,1,0,0,6.35,-0.472222222,0.716666667,,238.0487639,1,1,15.00836782,41.29850862,212.717625,,,,16.90085714,106.0733569,42.0297,43.87105556,31.218,,6
52,AS14.07,5,1,1,1,0,0,1,1,7.203333333,-0.04,0.886666667,0.118819317,55.0187818,1,1,18.54655443,28.71116429,221.6955333,,,,64.44631,109.105153,133.168875,114.432,,,6.8
53,AS14.07,5,1,0,0,1,1,1,1,6.516666667,-0.03,0.58,0.068723096,132.954477,1,1,20.08502523,44.61005593,263.7551528,,,,24.29616333,143.4479991,54.82694359,43.58185714,14.226,,6.6
54,AS14.07,5,0,1,1,1,1,1,0,6.16,-0.68,0.383333333,0.121630029,92.62594762,1,1,14.63424499,36.1155737,337.3817667,,,,22.37882556,113.4771361,106.6368333,150.612,363.429,,6.75
55,AS14.07,5,1,1,1,1,0,0,1,6.31,-0.47,0.48,0.076677896,130.4868071,1,1,13.53140183,36.30229454,443.0635812,,,,22.77404333,155.1678381,22.179,37.72409091,3.52,,3.5
56,AS14.07,5,1,1,0,0,1,1,1,5.72,-0.14,0.33,0.058222646,111.0329935,1,1,12.16446919,39.90812108,336.3719881,,,,19.89569333,118.290921,42.67105,72.282,,,4.75
57,AS14.07,5,0,0,1,1,1,1,1,4.75,-1.04,-0.21,0.072249606,172.2479149,1,1,19.6941723,52.1591809,325.1391667,,,,20.92058167,137.018525,33.254,25.10183334,,,6.6
58,AS14.07,5,1,1,1,1,1,0,0,5.506666667,-0.306666667,0.186666667,0.092435393,110.9214217,1,1,13.8462793,52.87311421,401.3873889,,,,18.22369167,88.37561789,163.1546667,225.68225,1.003,,5.4
59,AS14.07,5,1,1,1,0,0,1,1,5.63,-0.95,0.29,0.057119866,100.0547198,1,1,-142.2720512,58.26588328,206.8860379,,14.065,,105.3968454,104.5668191,1.004,77.06294667,2.403333333,,5
60,AS14.07,5,1,0,0,1,1,1,1,6.073333333,-1.086666667,0.353333333,0.08016882,106.9613019,1,,20.81978712,70.35598501,128.4408333,,,,25.08297917,86.26334226,,52.6525,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,AS14.08,5,0,0,1,1,1,1,1,7.026666667,-0.2,0.866666667,,,,1,,,,,,,,,,,,,6.8
62,AS14.08,5,1,1,1,1,1,0,0,6.88,-0.04,0.76,,63.46286243,,1,17.27003449,31.58771334,,,,,17.2792375,32.12997024,116.1222727,25.74957143,9.8825,,6.4
63,AS14.08,5,1,1,1,0,0,1,1,6.44,-0.45,0.73,0.032354694,76.33378545,1,1,9.735402857,76.9836215,31.00313889,,,17.086,8.121429763,135.8906133,,,10.1085,,6.4
64,AS14.08,5,1,0,0,1,1,1,1,6.68,-0.4,0.8,0.035438074,44.90798183,1,1,94.2125574,55.6304791,,,,,86.88478857,46.38745274,65.1715625,,14.58114583,,7.2
65,AS14.08,5,0,1,1,1,1,1,0,6.69,-0.253333333,0.7,0.046982888,42.03549067,1,1,12.98155927,41.10714427,57.72708333,,,161.499,7.180603175,42.75051517,,187.7137,11.527,,6.8
66,AS14.08,5,1,1,1,1,0,0,1,7.04,-0.28,0.986666667,0.061358604,45.78501995,,,6.423065,38.14670215,12.46504167,,,,7.031995555,36.68673071,,,13.51125,,7.5
67,AS14.08,5,1,1,0,0,1,1,1,7.2,0.04,1.04,0.065487955,52.5157496,1,1,8.898167219,30.19062868,62.95154168,,,,6.343479744,34.50538478,,7.028,11.06175,,6.25
68,AS14.08,5,0,0,1,1,1,1,1,7.21,0.41,0.98,0.070185923,52.23174237,1,,5.808334064,50.22779274,106.8846111,,,,154.4009086,64.37270236,,,7.4825,,6.6
69,AS14.08,5,1,1,1,1,1,0,0,6.36,-0.52,0.68,0.062762981,64.35275092,,,7.474231486,34.84387522,41.2175625,,,46.77,11.29433452,37.38642938,185.8111667,,5.85475,,7.8
70,AS14.08,5,1,1,1,0,0,1,1,6.44,-0.28,0.68,0.055114634,65.77715296,,,66.8053731,28.3378859,132.8162917,,,5.032,6.683479286,77.53935369,,19.729,9.374333333,,6.666666667
71,AS14.08,5,1,0,0,1,1,1,1,6.16,-0.36,0.663333333,0.046237599,83.86120511,,1,13.10984048,95.19858199,324.178,,,163.344,16.06538121,45.07454714,,,,,5.75
72,AS14.08,5,0,1,1,1,1,1,0,6.803333333,-0.07,0.81,0.101337405,103.7030825,,,7.143547619,110.4612417,185.6209583,,,,8.453343333,41.46258899,,6.071,38.5005,,6.8
73,AS14.08,2,1,0,0,0,0,0,1,6.733333334,-0.6,1,0.02294089,50.93577451,1,,9.001777778,11.45848,,,,,7.068625,56.53347728,,103.919,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,AS14.09,5,1,1,0,0,1,1,1,6.84,0.33,0.443333333,0.050260417,69.9659441,1,1,15.27622068,36.27947574,54.69635064,16.0612,,3.430708333,18.38644166,37.57302778,39.12742083,29.51836364,2.185066667,10.2265,7.75
75,AS14.09,5,0,0,1,1,1,1,1,7.91,-0.31,0.91,0.077485107,93.56459152,1,1,43.90726627,34.4820712,20.79920093,36.99516667,,1.518,17.23835048,51.39406894,31.69644444,14.11313333,9.929354167,15.643,7
76,AS14.09,5,1,1,1,1,1,0,0,7.13,-0.15,0.43,0.092305089,75.66652377,1,1,46.67066188,34.23958866,13.25991777,49.07645833,175.019,3.06,11.88644667,63.17366667,39.5113608,202.43775,3.316966667,32.864,7.5
77,AS14.09,5,1,1,1,0,0,1,1,6.84,-0.13,0.48,0.090644841,56.7222671,1,1,20.1783967,36.24102201,31.07408934,38.3246875,80.992,2.278,10.99098286,42.26306,27.23998889,4.098,3.29375,19.64133334,6
78,AS14.09,5,1,0,0,1,1,1,1,6.32,-0.05,0.24,0.093928571,71.01691834,1,1,11.54865278,27.88117956,10.9958376,23.749,,2.5145,9.540146667,39.2542,55.03454167,51.60458334,7.238944443,,6
79,AS14.09,5,0,1,1,1,1,1,0,6.62,-0.29,0.42,0.088494053,50.25786291,1,1,16.36615333,30.18103889,13.32259489,68.44758333,,20.102,13.15395,18.64825,62.24509524,30.3282,1.603916667,,6.25
80,AS14.09,5,1,1,1,1,0,0,1,6.576666667,-0.266666667,0.496666667,0.040500947,73.2842241,1,1,35.69905555,33.79506738,19.7171394,52.1065,,,13.0065,107.4983333,12.23333334,69.1455,1.1025,5.032,7.25
81,AS14.09,5,1,1,0,0,1,1,1,6.97,-0.25,0.67,0.113041877,47.03352028,,,9.4847,34.36830746,10.0406026,57.82033334,,,10.71466667,8.226,,17.815,,19.764,7
82,AS14.09,5,0,0,1,1,1,1,1,7.29,-0.06,0.69,,,,,,,,,,,,,,,,,6
83,AS14.09,1,1,0,0,0,0,0,0,6,-1,0.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,AS14.12,5,0,0,0,1,1,1,1,6.36,0.06,0.5,0.109139243,80.68045958,1,1,19.27932113,59.88778915,67.45204426,,,,12.75945,69.07952281,20.2236,6.699888889,4.2146,,6.4
85,AS14.12,5,1,1,1,1,1,0,0,6.14,0.31,0.43,0.131304006,75.74509904,1,1,7.268029862,42.8322803,64.42568651,20.878625,7.398,61.61378472,9.725953334,80.94101841,24.4384102,,,,6.2
86,AS14.12,5,1,1,1,0,0,1,1,6.07,0.09,0.38,0.12926725,63.93130022,1,1,32.49836024,30.4677903,88.32181802,25.28978334,33.35311111,27.66113889,9.66036,78.84361084,25.24252935,,5.282555556,,6.4
87,AS14.12,5,1,0,0,1,1,1,1,6.4,-0.02,0.64,0.094434198,67.78872935,1,,25.13711747,31.20458283,44.43303661,7.360333333,5.149,28.1385,12.39274667,76.04866849,35.05110989,,4.698722222,,6.8
88,AS14.12,5,0,1,1,1,1,1,0,6.6,-0.12,0.8,0.139271143,56.44441501,1,1,34.32753218,40.00556299,76.51527108,9.313888888,,37.332125,10.86113333,60.52803396,28.3025585,,4.725333333,,6.4
89,AS14.12,5,1,1,1,1,0,0,1,6.26,-0.04,0.83,0.130968385,77.18943258,1,,11.16556609,35.65901646,71.99334451,14.96958334,85.6389,30.73141667,9.9047,68.93751418,33.43198909,,3.191555556,,5.6
90,AS14.12,5,1,1,0,0,1,1,1,6.24,-0.11,0.79,0.165066125,55.4255334,1,1,10.40918782,28.24559239,70.58758,23.5765,,36.11816667,9.98036,93.0213321,51.97850834,,9.10575,51.049,6.25
91,AS14.12,5,0,0,1,1,1,1,1,5.67,-0.33,0.333333333,0.109660319,98.53455785,1,1,13.76127123,59.22779089,70.54852758,18.90921639,90.8055,23.7541,8.952266666,106.5036804,16.62995103,,4.56375,,6
92,AS14.12,1,1,0,0,0,0,0,0,6,0,0.333333333,0.032041855,35.10184616,1,,14.30582979,145.6532857,67.8465,,,,12.047,51.7579,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,AS14.13,5,1,0,0,1,1,1,1,6.96,-0.52,0.76,,55.87666711,1,1,19.58693349,43.32358459,44.09730769,,,,41.54550993,63.83841487,70.41014286,23.663,6.259,,7
94,AS14.13,5,0,1,1,1,1,1,0,7.2,0.48,0.88,0.155379869,72.49159527,,1,16.86066775,76.51919509,146.1700746,,,,60.9524476,25.50207319,23.503,,,,7.4
95,AS14.13,5,1,1,1,1,0,0,1,7.92,0.32,1.32,0.187378672,59.46814448,1,1,15.15612741,38.4163318,79.56844283,,,,35.39575842,36.07858236,169.8535,19.359,25.496,,7.6
96,AS14.13,5,1,1,0,0,1,1,1,7.1,-1.22,0.92,0.309455175,58.31439986,1,1,15.85321221,34.01292318,75.3167872,,,11.12266667,34.44079402,78.4834068,18.78678571,6.7595,43.997,,7.4
97,AS14.13,5,0,0,1,1,1,1,1,7.17,-0.43,0.99,0.269739729,59.0994315,1,1,24.53613512,53.34513967,126.8573556,,,,12.72399533,24.66570619,56.6804,52.81175,,,7.4
98,AS14.13,5,1,1,1,1,1,0,0,7.56,0.28,1.16,0.280104898,60.8703595,1,1,19.76908712,45.23898661,108.9804444,,,15.069,63.9462666,24.84970639,,,51.84225,,6.8
99,AS14.13,5,1,1,1,0,0,1,1,6.44,-0.17,0.75,0.24321516,46.07605816,1,1,15.7733915,30.57939492,62.2175,,,51.913375,19.46053601,32.26563284,,28.388,,,6.4
100,AS14.13,5,1,0,0,1,1,1,1,6.22,-1.16,0.52,0.163946021,69.97521933,1,1,19.36825372,44.3125532,58.23416667,,,22.77155556,66.6090354,21.36839671,18.668,,,,5.75
101,AS14.13,5,0,1,1,1,1,1,0,7.473333333,-0.62,1.12,0.351496466,74.1933033,1,1,16.88744662,28.8859656,,,,,22.52696213,29.96741068,42.56246875,15.71457895,,,8
102,AS14.13,5,1,1,1,1,0,0,1,8.166666667,-1.116666667,1.35,0.265831007,70.74810088,,,27.68189923,35.38525379,,,,35.01085,62.38580636,42.54604401,52.66902333,28.538,34.964,,8
103,AS14.13,3,0,0,0,0,1,1,1,7.75,-1.05,0.933333333,0.223843229,36.91738446,,,16.04760733,22.76444406,,,,7.516222222,17.50985714,22.90060714,34.85085714,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,AS14.14,5,1,0,0,1,1,1,1,6.34,-0.493333333,0.303333333,0.104414367,58.52500169,1,,15.77037621,54.29288472,28.72852754,68.36177917,,,50.89406686,38.09812971,52.8219,,4.044333333,,5.75
105,AS14.14,5,0,1,1,1,1,1,0,6.71,-0.42,0.73,0.107740239,60.26748518,1,1,15.21789766,50.11770481,95.940125,39.20666424,,,34.60286275,69.31295824,20.96794444,4.612666667,,,6.5
106,AS14.14,5,1,1,1,1,0,0,1,6.756666667,-0.55,0.83,0.048197432,42.26065172,1,1,111.1993824,30.73330411,,8.059,,,8.066093334,38.298,,,,,7.5
107,AS14.14,5,1,1,0,0,1,1,1,7.22,-0.8,0.88,0.019586512,30.28986303,1,1,235.2506201,117.7795869,,,,3.011,10.74671,27.58238889,,,,,8
108,AS14.14,5,0,0,1,1,1,1,1,7.479166667,0.25,1,0.051783483,29.26748767,1,,47.20327055,20.62519048,,,,,9.692191667,21.49788889,,,,,7.5
109,AS14.14,5,1,1,1,1,1,0,0,6.44,-0.3,0.396666667,0.028197617,28.46030368,,1,117.6016662,28.44023333,,,,38.7715,108.13606,11.6695,,,,,6.75
110,AS14.14,5,1,1,1,0,0,1,1,7.05,-0.38,0.686666667,0.020832699,35.85063417,1,1,31.13194661,39.47693,,,169.699,,11.38379333,43.94133333,47.435,,,,7.333333333
111,AS14.14,5,0,0,1,1,1,1,1,7.6,0.226666667,1.08,0.052796029,38.29575557,,1,194.2614652,23.13379895,,,,32.423,13.96517333,,23.5665,,,,6
112,AS14.14,5,1,0,0,1,1,1,1,6.653333333,-0.093333333,0.86,0.021294293,31.66213733,,,126.5998654,14.68969643,,,,,10.96255333,77.26033333,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,AS14.15,5,1,1,0,0,1,1,1,6.603333333,0.046666667,0.506666667,0.059368573,78.82662502,1,1,13.94262141,62.63534028,5.019,,,45.186,113.3915,,47.276,,17.082,,7.4
114,AS14.15,5,0,0,1,1,1,1,1,7.08,0.16,1,0.078743155,116.2803793,1,1,24.47193036,188.5283778,,,,3.01,13.11016667,,,,,,7
115,AS14.15,5,1,1,1,1,1,0,0,7.08,1.08,0.92,0.054645138,136.9815074,1,1,29.98196376,85.95376265,,,,21.464,23.88785714,,62.299,,16.07633333,,7
116,AS14.15,5,1,1,1,0,0,1,1,7.2,-0.08,0.96,0.208027778,107.497991,1,1,14.75917652,58.6323439,,,,9.0515,9.0315,73.23766667,,,,,7.2
117,AS14.15,5,1,0,0,1,1,1,1,7.04,0.48,0.68,0.082975092,59.00747278,1,1,13.38581952,40.79894048,,,,,9.099,118.0985,,,,,6.8
118,AS14.15,5,0,1,1,1,1,1,0,7.08,0.4,0.88,0.029895833,210.101469,1,1,31.31076035,69.45868333,414.577,,,,11.077,427.776,,,,,7
119,AS14.15,5,1,1,1,1,0,0,1,6.88,0.6,0.8,0.059984568,181.2558472,1,1,28.56564919,107.6645692,,,,24.770375,20.84577778,43.14775,64.96,23.129,,,6
120,AS14.15,5,1,1,0,0,1,1,1,6.84,-0.16,0.76,0.107671247,205.4378357,1,,18.73904769,79.65994167,91.026,,,47.48191667,107.4292179,170.724,103.633,,,,7
121,AS14.15,5,0,0,1,1,1,1,1,6.84,0.87,0.72,0.101388889,229.334581,1,1,24.38990468,72.52218642,39.181,,,28.243,30.28333334,12.082,,,,,7
122,AS14.15,5,1,1,1,1,1,0,0,6.72,0.68,0.166666667,0.049272727,188.5949167,1,,29.47526458,314.2205834,,32.21633333,,,58.5615,,,,,,6.8
123,AS14.15,5,1,0,1,1,0,1,1,6.96,0.3,0.63,0.023809524,91.78024996,1,1,22.11621875,78.05725,,,,,15.069,14.115,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,AS14.16,5,1,0,0,1,1,1,1,7.12,-0.38,0.83,0.060714286,43.2394509,1,1,5.40460031,24.22432889,65.813,13.5602,,,16.71983333,134.001,,,,,6.6
125,AS14.16,5,0,1,1,1,1,1,0,6.393333333,0.513333333,0.656666667,0.046141723,64.89315251,1,1,7.825987162,24.27776081,26.5435,22.1,,,10.562,37.65433333,,,,,7
126,AS14.16,5,1,1,1,1,0,0,1,6.2,0.16,0.58,0.129731171,145.036337,1,1,6.493576175,38.27606786,182.0856667,16.15383333,,,10.8365,99.76908333,,,,,6.5
127,AS14.16,5,1,1,0,0,1,1,1,5.94,-0.3,0.636666667,0.168177286,52.46140889,1,1,4.880046957,17.53966264,246.6821667,19.119,,,8.2535,19.80158334,20.4745,,,,6.4
128,AS14.16,5,0,0,1,1,1,1,1,6.52,-0.313333333,0.826666667,0.09485452,240.8001692,1,1,6.582694932,32.84684423,163.7561125,20.066,,,8.301041667,164.8286,4.944,,19.138,5.22,7
129,AS14.16,5,1,1,1,1,1,0,0,6.84,0.2,0.933333333,0.10708652,173.1311932,1,1,4.654456479,24.03128984,53.912,25.84716667,162.983,,6.29,47.17788889,,,,,7
130,AS14.16,5,1,1,1,0,0,1,1,6.85,0.78,0.8,0.053514942,16.54102656,1,1,13.94905553,15.39306364,,,,,6.0585,33.1145,,,,,7
131,AS14.16,5,1,0,0,1,1,1,1,7.05,0.666666667,1,0.069887024,52.5654097,1,1,9.584225272,39.95293215,101.146375,51.205,,,10.34625,31.44208333,,,,,6.6
